ProgrammingLanguageName   RepoDescription SourceDescription   PairID
C# https://github.com/nikola-vukicevic/bfs_i_dfs_pathfinding  https://github.com/nikola-vukicevic/bfs_i_dfs_pathfinding/blob/master/RastojanjeIzmedjuDvaPolja/Form1.cs mkovacevic-comment-2    Otvaranje binarnog file stream objekta za čitanje iz fajla obezbeđeno implicitno oslobađanje resursa
C# nikola-vukicevic/bfs_i_dfs_pathfinding  not recorded, check in repo :( mkovacevic-comment-3    \n Demonstracija algoritama BFS i DFS \n Autor Nikola Vukicevic projekat za III godinu \n 14.04.2016. \n F1 Podesavanja \n F2 Kreiranje novog lavirinta \n F3 Brisanje sanduka \n F4 Prikaz svih putanja \n
C# https://github.com/antbrkic95/MDB-project  https://github.com/antbrkic95/MDB-project/blob/master/MDB/Program.cs mkovacevic-comment-4    vraca putanju od svih koja\tje odsjecena i zapisuje u txt datoteku
C# https://github.com/aleri-a/AI-Makao  https://github.com/aleri-a/AI-Makao/blob/431e3881070f9453af97d81303d454f8a995363c/16313-AleksandraRistic/Tabla.cs mkovacevic-comment-5    i nema svrhu
C# https://github.com/vsite-csharp/04-KontrolaToka  https://github.com/vsite-csharp/04-KontrolaToka/blob/a03b98d8aebaf72cf1bc275cf730ffeba59af7e4/PetljeWhileDoWhile/PetljeWhileDoWhile.cs mkovacevic-comment-6    TODO 082 Pokrenuti testove i provjeriti prolaze li testovi u grupi TestPetljeWhileDoWhile
C# not recorded, check repo in row above  not recorded, check in repo :( mkovacevic-comment-7    TODO 101 Pokrenuti testove i provjeriti prolaze li oba testa u grupi TestForeach\n
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-8    Konstruktor
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-9    Indekser
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-10    Siroviji ispis
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-11    Vraća kopiju matrice
