ProgrammingLanguageName	CommentText	PairID	RepoDescription	SourceDescription
C#	Otvaranje binarnog file stream objekta za čitanje iz fajla obezbeđeno implicitno oslobađanje resursa	mkovacevic-comment-2.txt	  nikola-vukicevic/bfs_i_dfs_pathfinding	https://github.com/nikola-vukicevic/bfs_i_dfs_pathfinding/blob/master/RastojanjeIzmedjuDvaPolja/Form1.cs
C#	\n Demonstracija algoritama BFS i DFS \n Autor Nikola Vukicevic projekat za III godinu \n 14.04.2016. \n F1 Podesavanja \n F2 Kreiranje novog lavirinta \n F3 Brisanje sanduka \n F4 Prikaz svih putanja \n	mkovacevic-comment-3.txt	nikola-vukicevic/bfs_i_dfs_pathfinding	not recorded, check in repo :(
C#	vraca putanju od svih koja\tje odsjecena i zapisuje u txt datoteku	mkovacevic-comment-4.txt	antbrkic95/MDB-project	https://github.com/antbrkic95/MDB-project/blob/master/MDB/Program.cs
C#	i nema svrhu	mkovacevic-comment-5.txt	aleri-a/AI-Makao	https://github.com/aleri-a/AI-Makao/blob/431e3881070f9453af97d81303d454f8a995363c/16313-AleksandraRistic/Tabla.cs
C#	TODO 082 Pokrenuti testove i provjeriti prolaze li testovi u grupi TestPetljeWhileDoWhile	mkovacevic-comment-6.txt	vsite-csharp/04-KontrolaToka	https://github.com/vsite-csharp/04-KontrolaToka/blob/a03b98d8aebaf72cf1bc275cf730ffeba59af7e4/PetljeWhileDoWhile/PetljeWhileDoWhile.cs
C#	TODO 101 Pokrenuti testove i provjeriti prolaze li oba testa u grupi TestForeach\n	mkovacevic-comment-7.txt	not recorded, check repo in row above	not recorded, check in repo :(
C#	Konstruktor	mkovacevic-comment-8.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	Indekser	mkovacevic-comment-9.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	Siroviji ispis	mkovacevic-comment-10.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	Vraća kopiju matrice	mkovacevic-comment-11.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	Zapisivanje u datoteku\n	mkovacevic-comment-12.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	Učitavanje iz datoteke\n	mkovacevic-comment-13.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	Transponiranje\n	mkovacevic-comment-14.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	Stvaranje jedinične matrice	mkovacevic-comment-15.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	Supstitucija unaprijed	mkovacevic-comment-16.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	Supstitucija unatrag	mkovacevic-comment-17.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	Pomoćna metoda za popunjivanje matrice iz liste	mkovacevic-comment-18.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	provjerava je li matrica vektor	mkovacevic-comment-19.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	Iz LU matrice očitava i vraća matricu U\n	mkovacevic-comment-20.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	Vrati permutirani vektor	mkovacevic-comment-21.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	Vraća inverz matrice ako postoji	mkovacevic-comment-22.txt	studosi-fer/AIPR	https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs
C#	zahtev za prijavu	mkovacevic-comment-23.txt	studosi-fer/AIPR	https://github.com/vrana28/Kolokvijum2_Kviz_priprema/blob/master/Kolokvijum2_priprema/Server.cs
C#	restart aplikacije	mkovacevic-comment-24.txt	sparxMK/MojBroj(check name and owner again)	not recorded, check in repo :(
C#	klik na	mkovacevic-comment-25.txt	sparxMK/MojBroj(check name and owner again)	not recorded, check in repo :(
C#	klik na	mkovacevic-comment-26.txt	sparxMK/MojBroj(check name and owner again)	not recorded, check in repo :(
C#	klik na	mkovacevic-comment-27.txt	sparxMK/MojBroj(check name and owner again)	not recorded, check in repo :(
C#	klik na	mkovacevic-comment-28.txt	sparxMK/MojBroj(check name and owner again)	not recorded, check in repo :(
